Date,Time,bid_price,ask_price
2024-10-31,19:51:49,1.08733,1.08744
2024-10-31,19:52:06,1.08733,1.08744
2024-10-31,19:52:25,1.08733,1.08744
2024-10-31,19:52:42,1.08733,1.08744
2024-10-31,19:53:01,1.08733,1.08744
2024-10-31,19:53:19,1.08733,1.08744
2024-10-31,19:53:34,1.08733,1.08744
2024-10-31,19:53:52,1.08733,1.08744
2024-10-31,19:54:14,1.08733,1.08744
2024-10-31,19:54:30,1.08733,1.08744
2024-10-31,19:54:49,1.08733,1.08744
2024-10-31,19:55:05,1.08733,1.08744
2024-10-31,19:55:23,1.08733,1.08744
2024-10-31,19:55:38,1.08733,1.08744
2024-10-31,19:55:56,1.08733,1.08744
2024-10-31,19:56:13,1.08733,1.08744
2024-10-31,19:56:29,1.08733,1.08744
2024-10-31,19:56:45,1.08733,1.08744
2024-10-31,19:57:03,1.08733,1.08744
2024-10-31,19:57:19,1.08733,1.08744
2024-10-31,19:57:37,1.08733,1.08744
2024-10-31,19:57:57,1.08733,1.08744
2024-10-31,19:58:13,1.08733,1.08744
2024-10-31,20:04:12,1.08783,1.08798
2024-10-31,20:05:26,1.08783,1.08798
2024-10-31,20:06:38,1.08783,1.08798
2024-10-31,20:07:51,1.08783,1.08798
2024-10-31,20:09:04,1.08783,1.08798
2024-10-31,20:10:16,1.08783,1.08798
2024-10-31,20:11:27,1.08783,1.08798
2024-10-31,20:12:38,1.08783,1.08798
2024-10-31,20:13:50,1.08783,1.08798
2024-10-31,20:14:35,1.08783,1.08798
2024-10-31,20:15:51,1.08783,1.08798
2024-10-31,20:17:04,1.08783,1.08798
2024-10-31,20:18:16,1.08783,1.08798
2024-10-31,20:19:29,1.08783,1.08798
2024-10-31,20:20:43,1.08783,1.08798
2024-10-31,20:21:57,1.08783,1.08798
2024-10-31,20:23:11,1.08783,1.08798
2024-10-31,20:24:24,1.08783,1.08798
2024-10-31,20:25:38,1.08783,1.08798
2024-10-31,20:26:53,1.08783,1.08798
2024-10-31,20:28:09,1.08783,1.08798
2024-10-31,20:29:22,1.08783,1.08798
2024-10-31,20:30:37,1.0878,1.08794
2024-10-31,20:31:52,1.0878,1.08794
2024-10-31,20:33:07,1.0878,1.08794
2024-10-31,20:34:22,1.0878,1.08794
2024-10-31,20:35:35,1.0878,1.08794
2024-10-31,20:36:48,1.0878,1.08794
2024-10-31,20:38:01,1.0878,1.08794
2024-10-31,20:39:13,1.0878,1.08794
2024-10-31,20:40:25,1.0878,1.08794
2024-10-31,20:41:38,1.0878,1.08794
2024-10-31,20:42:52,1.0878,1.08794
2024-10-31,20:44:09,1.0878,1.08794
2024-10-31,20:45:20,1.0878,1.08794
2024-10-31,20:46:33,1.0878,1.08794
2024-10-31,20:47:44,1.0878,1.08794
2024-10-31,20:48:57,1.0878,1.08794
2024-10-31,20:50:09,1.0878,1.08794
2024-10-31,20:51:21,1.0878,1.08794
2024-10-31,20:52:34,1.0878,1.08794
2024-10-31,20:53:46,1.0878,1.08794
2024-10-31,20:54:58,1.0878,1.08794
2024-10-31,20:56:08,1.0878,1.08794
2024-10-31,20:57:21,1.0878,1.08794
2024-10-31,20:58:33,1.0878,1.08794
2024-10-31,20:59:47,1.0858,1.08593
2024-10-31,21:01:00,1.0858,1.08593
2024-10-31,21:02:13,1.0858,1.08593
2024-10-31,21:03:29,1.0858,1.08593
2024-10-31,21:04:45,1.0858,1.08593
2024-10-31,21:06:01,1.0858,1.08593
2024-10-31,21:07:14,1.0858,1.08593
2024-10-31,21:08:27,1.0858,1.08593
2024-10-31,21:09:40,1.0858,1.08593
2024-10-31,21:10:53,1.0858,1.08593
2024-10-31,21:12:08,1.0858,1.08593
2024-10-31,21:13:22,1.0858,1.08593
2024-10-31,21:14:35,1.0858,1.08593
2024-10-31,21:15:48,1.0858,1.08593
2024-10-31,21:17:02,1.0858,1.08593
2024-10-31,21:18:15,1.0858,1.08593
2024-10-31,21:19:28,1.0858,1.08593
2024-10-31,21:20:41,1.0858,1.08593
2024-10-31,21:21:56,1.0858,1.08593
2024-10-31,21:23:09,1.0858,1.08593
2024-10-31,21:24:23,1.0858,1.08593
2024-10-31,21:25:42,1.0858,1.08593
2024-10-31,21:26:55,1.0858,1.08593
2024-10-31,21:28:08,1.0858,1.08593
2024-10-31,21:29:21,1.0858,1.08593
2024-10-31,21:30:37,1.08692,1.08705
2024-10-31,21:31:51,1.08692,1.08705
2024-10-31,21:33:05,1.08692,1.08705
2024-10-31,21:34:18,1.08692,1.08705
2024-10-31,21:35:33,1.08692,1.08705
2024-10-31,21:36:48,1.08692,1.08705
2024-10-31,21:38:04,1.08692,1.08705
2024-10-31,21:39:19,1.08692,1.08705
2024-10-31,21:40:33,1.08692,1.08705
2024-10-31,21:41:47,1.08692,1.08705
2024-10-31,21:43:00,1.08692,1.08705
2024-10-31,21:44:14,1.08692,1.08705
2024-10-31,21:45:27,1.08692,1.08705
2024-10-31,21:46:39,1.08692,1.08705
2024-10-31,21:47:53,1.08692,1.08705
2024-10-31,21:49:07,1.08692,1.08705
2024-10-31,21:50:22,1.08692,1.08705
2024-10-31,21:51:36,1.08692,1.08705
2024-10-31,21:52:52,1.08692,1.08705
2024-10-31,21:54:09,1.08692,1.08705
2024-10-31,21:55:22,1.08692,1.08705
2024-10-31,21:56:35,1.08692,1.08705
2024-10-31,21:57:48,1.08692,1.08705
2024-10-31,21:59:01,1.08692,1.08705
2024-10-31,22:00:14,1.08666,1.08678
2024-10-31,22:01:27,1.08666,1.08678
2024-10-31,22:02:41,1.08666,1.08678
2024-10-31,22:03:54,1.08666,1.08678
2024-10-31,22:05:13,1.08666,1.08678
2024-10-31,22:06:27,1.08666,1.08678
2024-10-31,22:07:40,1.08666,1.08678
2024-10-31,22:08:56,1.08666,1.08678
2024-10-31,22:10:13,1.08666,1.08678
2024-10-31,22:11:26,1.08666,1.08678
2024-10-31,22:12:40,1.08666,1.08678
2024-10-31,22:13:53,1.08666,1.08678
2024-10-31,22:15:06,1.08666,1.08678
2024-10-31,22:16:18,1.08666,1.08678
2024-10-31,22:17:31,1.08666,1.08678
2024-10-31,22:18:45,1.08666,1.08678
2024-10-31,22:19:58,1.08666,1.08678
2024-10-31,22:21:12,1.08666,1.08678
2024-10-31,22:22:25,1.08666,1.08678
2024-10-31,22:23:38,1.08666,1.08678
2024-10-31,22:24:51,1.08666,1.08678
2024-10-31,22:26:06,1.08666,1.08678
2024-10-31,22:27:19,1.08666,1.08678
2024-10-31,22:28:33,1.08666,1.08678
2024-10-31,22:29:47,1.08666,1.08678
2024-10-31,22:31:04,1.08526,1.08538
2024-10-31,22:32:19,1.08526,1.08538
2024-10-31,22:33:32,1.08526,1.08538
2024-10-31,22:34:45,1.08526,1.08538
2024-10-31,22:35:58,1.08526,1.08538
2024-10-31,22:37:13,1.08526,1.08538
2024-10-31,22:38:26,1.08526,1.08538
2024-10-31,22:39:38,1.08526,1.08538
2024-10-31,22:40:50,1.08526,1.08538
2024-10-31,22:42:04,1.08526,1.08538
2024-10-31,22:43:17,1.08526,1.08538
2024-10-31,22:44:31,1.08526,1.08538
2024-10-31,22:45:45,1.08526,1.08538
2024-10-31,22:46:59,1.08526,1.08538
2024-10-31,22:48:13,1.08526,1.08538
2024-10-31,22:49:25,1.08526,1.08538
2024-10-31,22:50:38,1.08526,1.08538
2024-10-31,22:51:53,1.08526,1.08538
2024-10-31,22:53:06,1.08526,1.08538
2024-10-31,22:54:19,1.08526,1.08538
2024-10-31,22:55:33,1.08526,1.08538
2024-10-31,22:56:45,1.08526,1.08538
2024-10-31,22:57:59,1.08526,1.08538
2024-10-31,22:59:12,1.08526,1.08538
2024-10-31,23:00:24,1.08537,1.08552
2024-10-31,23:01:38,1.08537,1.08552
2024-10-31,23:02:57,1.08537,1.08552
2024-10-31,23:04:10,1.08537,1.08552
2024-10-31,23:05:23,1.08537,1.08552
2024-10-31,23:06:35,1.08537,1.08552
2024-10-31,23:07:52,1.08537,1.08552
2024-10-31,23:09:06,1.08537,1.08552
2024-10-31,23:10:19,1.08537,1.08552
2024-10-31,23:11:32,1.08537,1.08552
2024-10-31,23:12:48,1.08537,1.08552
2024-10-31,23:14:04,1.08537,1.08552
2024-10-31,23:15:17,1.08537,1.08552
2024-10-31,23:16:30,1.08537,1.08552
2024-10-31,23:17:43,1.08537,1.08552
2024-10-31,23:18:55,1.08537,1.08552
2024-10-31,23:20:08,1.08537,1.08552
2024-10-31,23:21:23,1.08537,1.08552
2024-10-31,23:22:36,1.08537,1.08552
2024-10-31,23:23:48,1.08537,1.08552
2024-10-31,23:25:05,1.08537,1.08552
2024-10-31,23:26:17,1.08537,1.08552
2024-10-31,23:27:30,1.08537,1.08552
2024-10-31,23:28:43,1.08537,1.08552
2024-10-31,23:29:59,1.08537,1.08552
2024-10-31,23:31:11,1.08579,1.0859
2024-10-31,23:32:23,1.08579,1.0859
2024-10-31,23:33:37,1.08579,1.0859
2024-10-31,23:34:50,1.08579,1.0859
2024-10-31,23:36:03,1.08579,1.0859
2024-10-31,23:37:16,1.08579,1.0859
2024-10-31,23:38:29,1.08579,1.0859
2024-10-31,23:39:43,1.08579,1.0859
2024-10-31,23:40:56,1.08579,1.0859
2024-10-31,23:42:08,1.08579,1.0859
2024-10-31,23:43:22,1.08579,1.0859
2024-10-31,23:44:35,1.08579,1.0859
2024-10-31,23:45:49,1.08579,1.0859
2024-10-31,23:47:02,1.08579,1.0859
2024-10-31,23:48:15,1.08579,1.0859
2024-10-31,23:49:28,1.08579,1.0859
2024-10-31,23:50:41,1.08579,1.0859
2024-10-31,23:51:54,1.08579,1.0859
2024-10-31,23:53:07,1.08579,1.0859
2024-10-31,23:54:20,1.08579,1.0859
2024-10-31,23:55:33,1.08579,1.0859
2024-10-31,23:56:47,1.08579,1.0859
2024-10-31,23:58:03,1.08579,1.0859
2024-10-31,23:59:15,1.08579,1.0859
2024-11-01,00:00:28,1.08579,1.0859
2024-11-01,00:01:41,1.08581,1.08595
2024-11-01,00:02:54,1.08581,1.08595
2024-11-01,00:04:07,1.08581,1.08595
2024-11-01,00:05:20,1.08581,1.08595
2024-11-01,00:06:33,1.08581,1.08595
2024-11-01,00:07:46,1.08581,1.08595
2024-11-01,00:08:59,1.08581,1.08595
2024-11-01,00:10:12,1.08581,1.08595
2024-11-01,00:11:23,1.08581,1.08595
2024-11-01,00:12:33,1.08581,1.08595
2024-11-01,00:13:43,1.08581,1.08595
2024-11-01,00:14:56,1.08581,1.08595
2024-11-01,00:16:09,1.08581,1.08595
2024-11-01,00:17:23,1.08581,1.08595
2024-11-01,00:18:36,1.08581,1.08595
2024-11-01,00:19:48,1.08581,1.08595
2024-11-01,00:21:02,1.08581,1.08595
2024-11-01,00:22:15,1.08581,1.08595
2024-11-01,00:23:28,1.08581,1.08595
2024-11-01,00:24:41,1.08581,1.08595
2024-11-01,00:25:53,1.08581,1.08595
2024-11-01,00:27:07,1.08581,1.08595
2024-11-01,00:28:20,1.08581,1.08595
2024-11-01,00:29:33,1.08581,1.08595
2024-11-01,00:30:46,1.08582,1.08593
2024-11-01,00:31:58,1.08582,1.08593
2024-11-01,00:33:11,1.08582,1.08593
2024-11-01,00:34:23,1.08582,1.08593
2024-11-01,00:35:37,1.08582,1.08593
2024-11-01,00:36:55,1.08582,1.08593
2024-11-01,00:38:08,1.08582,1.08593
2024-11-01,00:39:23,1.08582,1.08593
2024-11-01,00:40:35,1.08582,1.08593
2024-11-01,00:41:46,1.08582,1.08593
2024-11-01,00:42:58,1.08582,1.08593
2024-11-01,00:44:10,1.08582,1.08593
2024-11-01,00:45:23,1.08582,1.08593
2024-11-01,00:46:35,1.08582,1.08593
2024-11-01,00:47:48,1.08582,1.08593
2024-11-01,00:49:01,1.08582,1.08593
2024-11-01,00:50:14,1.08582,1.08593
2024-11-01,00:51:27,1.08582,1.08593
2024-11-01,00:52:39,1.08582,1.08593
2024-11-01,00:53:53,1.08582,1.08593
2024-11-01,00:55:05,1.08582,1.08593
2024-11-01,00:56:18,1.08582,1.08593
2024-11-01,00:57:30,1.08582,1.08593
2024-11-01,00:58:43,1.08582,1.08593
2024-11-01,01:00:00,1.08582,1.08593
2024-11-01,01:01:13,1.08602,1.08616
2024-11-01,01:02:26,1.08602,1.08616
2024-11-01,01:03:38,1.08602,1.08616
2024-11-01,01:04:50,1.08602,1.08616
2024-11-01,01:06:03,1.08602,1.08616
2024-11-01,01:07:16,1.08602,1.08616
2024-11-01,01:08:29,1.08602,1.08616
2024-11-01,01:09:41,1.08602,1.08616
2024-11-01,01:10:55,1.08602,1.08616
2024-11-01,01:12:08,1.08602,1.08616
2024-11-01,01:13:20,1.08602,1.08616
2024-11-01,01:14:33,1.08602,1.08616
2024-11-01,01:15:47,1.08602,1.08616
2024-11-01,01:17:02,1.08602,1.08616
2024-11-01,01:18:14,1.08602,1.08616
2024-11-01,01:19:27,1.08602,1.08616
2024-11-01,01:20:40,1.08602,1.08616
2024-11-01,01:21:54,1.08602,1.08616
2024-11-01,01:23:06,1.08602,1.08616
2024-11-01,01:24:19,1.08602,1.08616
2024-11-01,01:25:31,1.08602,1.08616
2024-11-01,01:26:44,1.08602,1.08616
2024-11-01,01:27:57,1.08602,1.08616
2024-11-01,01:29:09,1.08602,1.08616
2024-11-01,01:30:22,1.08602,1.08616
2024-11-01,01:31:35,1.0867,1.08686
2024-11-01,01:32:47,1.0867,1.08686
2024-11-01,01:34:02,1.0867,1.08686
2024-11-01,01:35:14,1.0867,1.08686
2024-11-01,01:36:26,1.0867,1.08686
2024-11-01,01:37:39,1.0867,1.08686
2024-11-01,01:38:52,1.0867,1.08686
2024-11-01,01:40:08,1.0867,1.08686
2024-11-01,01:41:20,1.0867,1.08686
2024-11-01,01:42:33,1.0867,1.08686
2024-11-01,01:43:45,1.0867,1.08686
2024-11-01,01:44:58,1.0867,1.08686
2024-11-01,01:46:11,1.0867,1.08686
2024-11-01,01:47:23,1.0867,1.08686
2024-11-01,01:48:36,1.0867,1.08686
2024-11-01,01:49:49,1.0867,1.08686
2024-11-01,01:51:02,1.0867,1.08686
2024-11-01,01:52:14,1.0867,1.08686
2024-11-01,01:53:27,1.0867,1.08686
2024-11-01,01:54:39,1.0867,1.08686
2024-11-01,01:55:53,1.0867,1.08686
2024-11-01,01:57:05,1.0867,1.08686
2024-11-01,01:58:19,1.0867,1.08686
2024-11-01,01:59:32,1.0867,1.08686
2024-11-01,02:00:47,1.0867,1.08686
2024-11-01,02:01:59,1.08709,1.08722
2024-11-01,02:03:12,1.08709,1.08722
2024-11-01,02:04:25,1.08709,1.08722
2024-11-01,02:05:38,1.08709,1.08722
2024-11-01,02:06:50,1.08709,1.08722
2024-11-01,02:08:03,1.08709,1.08722
2024-11-01,02:09:15,1.08709,1.08722
2024-11-01,02:10:28,1.08709,1.08722
2024-11-01,02:11:40,1.08709,1.08722
2024-11-01,02:12:53,1.08709,1.08722
2024-11-01,02:14:06,1.08709,1.08722
2024-11-01,02:15:19,1.08709,1.08722
2024-11-01,02:16:31,1.08709,1.08722
2024-11-01,02:17:44,1.08709,1.08722
2024-11-01,02:18:57,1.08709,1.08722
2024-11-01,02:20:10,1.08709,1.08722
2024-11-01,02:21:25,1.08709,1.08722
2024-11-01,02:22:37,1.08709,1.08722
2024-11-01,02:23:50,1.08709,1.08722
2024-11-01,02:25:02,1.08709,1.08722
2024-11-01,02:26:15,1.08709,1.08722
2024-11-01,02:27:27,1.08709,1.08722
2024-11-01,02:28:39,1.08709,1.08722
2024-11-01,02:29:52,1.08709,1.08722
2024-11-01,02:31:04,1.08709,1.08722
2024-11-01,02:32:16,1.08709,1.08722
2024-11-01,02:33:30,1.08709,1.08722
2024-11-01,02:34:43,1.08709,1.08722
2024-11-01,02:35:56,1.08709,1.08722
2024-11-01,02:37:08,1.08709,1.08722
2024-11-01,02:38:21,1.08709,1.08722
2024-11-01,02:39:34,1.08709,1.08722
2024-11-01,02:40:47,1.08709,1.08722
2024-11-01,02:42:02,1.08709,1.08722
2024-11-01,02:43:14,1.08709,1.08722
2024-11-01,02:44:27,1.08709,1.08722
2024-11-01,02:45:39,1.08709,1.08722
2024-11-01,02:46:51,1.08709,1.08722
2024-11-01,02:48:04,1.08709,1.08722
2024-11-01,02:49:16,1.08709,1.08722
2024-11-01,02:50:28,1.08709,1.08722
2024-11-01,02:51:41,1.08709,1.08722
2024-11-01,02:52:53,1.08709,1.08722
2024-11-01,02:54:06,1.08709,1.08722
2024-11-01,02:55:19,1.08709,1.08722
2024-11-01,02:56:31,1.08709,1.08722
2024-11-01,02:57:43,1.08709,1.08722
2024-11-01,02:58:55,1.08709,1.08722
2024-11-01,03:00:07,1.08709,1.08722
2024-11-01,03:01:20,1.08709,1.08722
2024-11-01,03:02:33,1.08709,1.08722
2024-11-01,03:03:44,1.08709,1.08722
2024-11-01,03:04:58,1.08709,1.08722
2024-11-01,03:06:11,1.08709,1.08722
2024-11-01,03:07:25,1.08709,1.08722
2024-11-01,10:55:31,1.08709,1.08722
2024-11-01,10:55:47,1.08764,1.08774
2024-11-01,10:56:04,1.08764,1.08774
2024-11-01,10:56:19,1.08758,1.08771
2024-11-01,10:56:35,1.08759,1.08769
2024-11-01,10:56:53,1.08761,1.08771
2024-11-01,10:57:08,1.08762,1.08773
2024-11-01,10:57:25,1.08759,1.08769
2024-11-01,11:00:32,1.08754,1.08765
2024-11-01,11:01:34,1.08754,1.08765
2024-11-01,11:02:38,1.08763,1.08773
2024-11-01,11:03:39,1.08763,1.08775
2024-11-01,11:08:08,1.08709,1.08722
